timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2021-07-12,219007.50930000,221688.79946100,208774.97011800,211512.89960100,34259.00000000,34678.43000000,32658.34000000,33086.63000000,48181.40376200,48181.40376200
2021-07-11,214173.79704900,221609.33820000,212918.27076900,219007.44537300,33502.87000000,34666.00000000,33306.47000000,34258.99000000,31572.64744800,31572.64744800
2021-07-10,216174.32858700,219026.68740000,210989.65710600,214173.79704900,33815.81000000,34262.00000000,33004.78000000,33502.87000000,34761.17546800,34761.17546800
2021-07-09,210164.55131700,217991.07000000,206235.34218900,216174.32858700,32875.71000000,34100.00000000,32261.07000000,33815.81000000,47153.93989900,47153.93989900
2021-07-08,216470.31059700,216902.00962800,205058.63790000,210164.55131700,33862.11000000,33929.64000000,32077.00000000,32875.71000000,70136.48032000,70136.48032000
2021-07-07,218758.32185400,224122.24464300,215931.15027900,216470.37452400,34220.02000000,35059.09000000,33777.77000000,33862.12000000,53807.52167500,53807.52167500
2021-07-06,215371.02190500,224504.46417600,214360.01640000,218758.25792700,33690.15000000,35118.88000000,33532.00000000,34220.01000000,58210.59634900,58210.59634900
2021-07-05,225586.42865100,225622.54740600,211761.70348500,215370.95797800,35288.13000000,35293.78000000,33125.55000000,33690.14000000,64123.87424500,64123.87424500
2021-07-04,221629.28342400,229931.67469500,219634.95280500,225576.07247700,34669.12000000,35967.85000000,34357.15000000,35286.51000000,43703.47578900,43703.47578900
2021-07-03,215987.21425800,223396.80104700,212983.85987100,221629.34735100,33786.54000000,34945.61000000,33316.73000000,34669.13000000,43044.57864100,43044.57864100
2021-07-02,214170.34499100,217205.02360800,209034.89730000,215987.27818500,33502.33000000,33977.04000000,32699.00000000,33786.55000000,56172.18137800,56172.18137800
2021-07-01,224032.17150000,224112.52773900,209111.60970000,214185.43176300,35045.00000000,35057.57000000,32711.00000000,33504.69000000,71708.26611200,71708.26611200
2021-06-30,229572.85244400,230776.47000000,217463.99188500,224032.17150000,35911.72000000,36100.00000000,34017.55000000,35045.00000000,77152.19763400,77152.19763400
2021-06-29,220515.48330300,233972.82000000,218792.90636100,229572.91637100,34494.89000000,36600.00000000,34225.43000000,35911.73000000,90788.79622000,90788.79622000
2021-06-28,221842.60782300,225647.67071700,216474.21014400,220515.48330300,34702.49000000,35297.71000000,33862.72000000,34494.89000000,82222.26781900,82222.26781900
2021-06-27,206379.68935500,222139.93230000,204396.67381500,221828.86351800,32283.65000000,34749.00000000,31973.45000000,34700.34000000,96613.24421100,96613.24421100
2021-06-26,201856.47054300,209233.07100000,192746.29770000,206379.68935500,31576.09000000,32730.00000000,30151.00000000,32283.65000000,107820.37528700,107820.37528700
2021-06-25,221590.67151600,226940.85000000,199931.69250000,201909.91351500,34663.08000000,35500.00000000,31275.00000000,31584.45000000,116061.13035600,116061.13035600
2021-06-24,215274.61998900,225649.52460000,206398.35603900,221590.73544300,33675.07000000,35298.00000000,32286.57000000,34663.09000000,86625.80426000,86625.80426000
2021-06-23,207823.86421200,222983.76870000,202539.91410000,215293.79808900,32509.56000000,34881.00000000,31683.00000000,33678.07000000,126966.10056300,126966.10056300
2021-06-22,202099.58492400,212869.11090600,184141.72350000,207823.86421200,31614.12000000,33298.78000000,28805.00000000,32509.56000000,204208.17976200,204208.17976200
2021-06-21,227581.20675900,228539.02500000,199779.73802100,202066.40681100,35600.17000000,35750.00000000,31251.23000000,31608.93000000,168778.87315900,168778.87315900
2021-06-20,226836.77684400,231017.60264400,213107.04720000,227581.14283200,35483.72000000,36137.72000000,33336.00000000,35600.16000000,89878.17085000,89878.17085000
2021-06-19,228989.58249600,233058.66390000,222488.46230400,226836.77684400,35820.48000000,36457.00000000,34803.52000000,35483.72000000,68712.44946100,68712.44946100
2021-06-18,243516.92931900,244219.29526800,224571.01218300,228985.49116800,38092.97000000,38202.84000000,35129.29000000,35819.84000000,95228.04293500,95228.04293500
2021-06-17,245153.65230000,252894.44487600,238863.23550000,243516.92931900,38349.00000000,39559.88000000,37365.00000000,38092.97000000,79541.30711900,79541.30711900
2021-06-16,256627.27026000,259077.84787800,243664.21712700,245153.71622700,40143.80000000,40527.14000000,38116.01000000,38349.01000000,87771.97693700,87771.97693700
2021-06-15,259008.42315600,264210.29100000,252552.56328000,256628.80450800,40516.28000000,41330.00000000,39506.40000000,40144.04000000,80679.62283800,80679.62283800
2021-06-14,249446.73391200,262510.15243500,247589.27100000,259008.48708300,39020.56000000,41064.05000000,38730.00000000,40516.29000000,108522.39194900,108522.39194900
2021-06-13,227235.68132400,251744.52600000,222191.07390000,249446.79783900,35546.12000000,39380.00000000,34757.00000000,39020.57000000,86921.02555500,86921.02555500
2021-06-12,238652.14854600,239493.74750100,221189.72137200,227235.61739700,37331.98000000,37463.63000000,34600.36000000,35546.11000000,87717.54999000,87717.54999000
2021-06-11,234470.36384100,240879.49308000,229732.98957900,238652.14854600,36677.83000000,37680.40000000,35936.77000000,37331.98000000,78466.00530000,78466.00530000
2021-06-10,239010.58723500,246061.41570000,228743.59140000,234456.87524400,37388.05000000,38491.00000000,35782.00000000,36675.72000000,109527.28494300,109527.28494300
2021-06-09,213393.44016000,239948.65203300,207103.15121400,239010.58723500,33380.80000000,37534.79000000,32396.82000000,37388.05000000,136607.59751700,136607.59751700
2021-06-08,214519.57819200,217786.56752700,198173.70000000,213393.50408700,33556.96000000,34068.01000000,31000.00000000,33380.81000000,123251.18903700,123251.18903700
2021-06-07,228835.07093700,235890.63000000,212876.91000000,214492.92063300,35796.31000000,36900.00000000,33300.00000000,33552.79000000,77574.95257300,77574.95257300
2021-06-06,227043.58068900,233205.69600000,225163.67940000,228835.07093700,35516.07000000,36480.00000000,35222.00000000,35796.31000000,47650.20663700,47650.20663700
2021-06-05,235437.70720500,242443.14750000,222465.96000000,227025.23364000,36829.15000000,37925.00000000,34800.00000000,35513.20000000,70459.62149000,70459.62149000
2021-06-04,250892.89050600,251163.23778900,227293.40740500,235436.74830000,39246.78000000,39289.07000000,35555.15000000,36829.00000000,91317.79924500,91317.79924500
2021-06-03,240165.30063600,252358.22520000,237616.65900000,250892.95443300,37568.68000000,39476.00000000,37170.00000000,39246.79000000,75889.10601100,75889.10601100
2021-06-02,234579.16759500,244360.95750000,229625.78400000,240165.30063600,36694.85000000,38225.00000000,35920.00000000,37568.68000000,67587.37249500,67587.37249500
2021-06-01,238152.49511400,242250.15188700,228002.03820000,234567.91644300,37253.82000000,37894.81000000,35666.00000000,36693.09000000,81234.66377000,81234.66377000
2021-05-31,227843.88280200,239719.85730000,218335.25296800,238152.43118700,35641.26000000,37499.00000000,34153.84000000,37253.81000000,94160.73528900,94160.73528900
2021-05-30,221220.34240500,233256.83760000,213381.93330000,227843.94672900,34605.15000000,36488.00000000,33379.00000000,35641.27000000,73535.38696700,73535.38696700
2021-05-29,227975.12493300,238694.34036600,215004.14485200,221220.34240500,35661.79000000,37338.58000000,33632.76000000,34605.15000000,112663.09268900,112663.09268900
2021-05-28,246310.66707300,248534.30384100,221724.40680000,227985.99252300,38529.99000000,38877.83000000,34684.00000000,35663.49000000,135377.62972000,135377.62972000
2021-05-27,250861.82198400,258336.29467800,237388.24782900,246310.60314600,39241.92000000,40411.14000000,37134.27000000,38529.98000000,86547.15879400,86547.15879400
2021-05-26,244998.43754400,261084.26070000,241646.87278800,250861.75805700,38324.72000000,40841.00000000,37800.44000000,39241.91000000,104780.77339600,104780.77339600
2021-05-25,248107.01577300,254376.84807900,232819.70477400,244998.43754400,38810.99000000,39791.77000000,36419.62000000,38324.72000000,111996.22840400,111996.22840400
2021-05-24,221708.04148800,255196.58400000,217549.97370000,248013.04308300,34681.44000000,39920.00000000,34031.00000000,38796.29000000,161630.89397100,161630.89397100
2021-05-23,239461.01687700,244652.72032800,198883.35362700,221540.61667500,37458.51000000,38270.64000000,31111.01000000,34655.25000000,217136.04659300,217136.04659300
2021-05-22,238213.41754500,248222.14830000,225027.00347400,239404.88897100,37263.35000000,38829.00000000,35200.62000000,37449.73000000,126542.24368900,126542.24368900
2021-05-21,259066.66065300,269771.94000000,214078.73760000,238140.92432700,40525.39000000,42200.00000000,33488.00000000,37252.01000000,202100.88825800,202100.88825800
2021-05-20,234428.17202100,271380.79080900,222785.59500000,259074.65152800,36671.23000000,42451.67000000,34850.00000000,40526.64000000,203017.59692300,203017.59692300
2021-05-19,273925.78860600,278625.19023000,191781.00000000,234548.73834300,42849.78000000,43584.90000000,30000.00000000,36690.09000000,354347.24316100,354347.24316100
2021-05-18,278325.50045400,292781.12118300,270091.70285400,273925.78860600,43538.02000000,45799.29000000,42250.02000000,42849.78000000,116979.86078400,116979.86078400
2021-05-17,296792.79614100,298449.59220000,268499.79270000,278325.62830800,46426.83000000,46686.00000000,42001.00000000,43538.04000000,166657.17273600,166657.17273600
2021-05-16,298941.76617300,318330.18600300,280162.57065300,296822.65005000,46762.99000000,49795.89000000,43825.39000000,46431.50000000,114269.81277500,114269.81277500
2021-05-15,318638.76163200,324109.89000000,297612.14850000,298941.76617300,49844.16000000,50700.00000000,46555.00000000,46762.99000000,89437.44935900,89437.44935900
2021-05-14,317537.68298400,329115.37410000,311962.16182500,318621.43741500,49671.92000000,51483.00000000,48799.75000000,49841.45000000,80082.20430600,80082.20430600
2021-05-13,316676.13880500,328375.03551300,294064.20000000,317531.60991900,49537.15000000,51367.19000000,46000.00000000,49670.97000000,147332.00212100,147332.00212100
2021-05-12,362274.43685400,370776.66392700,310685.22000000,317278.13936400,56670.02000000,58000.01000000,48600.00000000,49631.32000000,99842.78983600,99842.78983600
2021-05-11,356815.83817800,363504.45626100,347571.09900000,362274.43685400,55816.14000000,56862.43000000,54370.00000000,56670.02000000,64329.54055000,64329.54055000
2021-05-10,372316.15394100,380365.65000000,341370.18000000,356815.83817800,58240.83000000,59500.00000000,53400.00000000,55816.14000000,89586.34925000,89586.34925000
2021-05-09,376316.06633100,379087.11000000,359497.70368200,372316.21786800,58866.53000000,59300.00000000,56235.66000000,58240.84000000,69806.11991000,69806.11991000
2021-05-08,366400.73292300,380365.65000000,363744.63000000,376287.42703500,57315.49000000,59500.00000000,56900.00000000,58862.05000000,69709.90602800,69709.90602800
2021-05-07,360507.87813600,374931.85500000,353143.16810100,366396.00232500,56393.68000000,58650.00000000,55241.63000000,57314.75000000,74542.74782900,74542.74782900
2021-05-06,367171.82039700,373077.97200000,352877.04000000,360507.87813600,57436.11000000,58360.00000000,55200.00000000,56393.68000000,70181.67190800,70181.67190800
